Pass,SpreadModel,TimeFrame,StrategyPreset,LookBack,RegressionLookBack,ZScoreOpen,ZScoreClose,AddZStep,MaxAddCount,AddLotStep,BaseLots,MinBasketProfit,ExtremeZThreshold,NetProfit,Sharpe,ProfitFactor,MaxAccountProfit,MaxAccountLoss,WorstBasketLoss,MaxEquityDrawdown,MaxEquityDrawdownPct,LongestBasketHoldHours,AvgBasketHoldHours,MaxExtremeZHours,AvgExtremeZHours,BasketCountObserved,ExtremeZEpisodeCount,ActiveBasketAgeHoursAtEnd,Score
1,OLS_LOG_RESIDUAL,M15,B_BALANCED_4.5_2.0_0.03_CLOSE1_MAXADD7,60,60,4.50,1.00,2.00,7,0.03,0.01,1,3,722.84,0.541654,1.126976,1314.07,613.12,832.76,1416.68,12.5214,2426.3839,69.4877,53.2542,0.0275,86,8920,655.9264,0.551990
2,OLS_LOG_RESIDUAL,M15,C_HIGH_QUALITY_4.5_2.0_0.04_CLOSE1_MAXADD7,60,60,4.50,1.00,2.00,7,0.04,0.01,1,3,875.09,0.526743,1.126871,1660.90,757.67,997.30,1841.83,15.7949,2426.3833,69.4856,53.2542,0.0275,86,8920,655.9264,0.560023
0,OLS_LOG_RESIDUAL,M15,A_HIGH_RETURN_3.0_1.0_0.04_CLOSE0_MAXADD7,60,60,3.00,0.00,1.00,7,0.04,0.01,1,3,4629.03,0.646041,1.158462,4793.04,2796.98,4769.82,4773.10,39.8551,2544.0839,43.7246,53.2542,0.0275,149,8920,175.1392,5.943180
