Pass,SpreadModel,TimeFrame,StrategyPreset,LookBack,RegressionLookBack,ZScoreOpen,ZScoreClose,AddZStep,MaxAddCount,AddLotStep,BaseLots,MinBasketProfit,ExtremeZThreshold,NetProfit,Sharpe,ProfitFactor,MaxAccountProfit,MaxAccountLoss,WorstBasketLoss,MaxEquityDrawdown,MaxEquityDrawdownPct,LongestBasketHoldHours,AvgBasketHoldHours,MaxExtremeZHours,AvgExtremeZHours,BasketCountObserved,ExtremeZEpisodeCount,ActiveBasketAgeHoursAtEnd,Score
2,OLS_LOG_RESIDUAL,M15,C_HIGH_QUALITY_4.5_2.0_0.04_CLOSE1_MAXADD7,60,60,4.50,1.00,2.00,7,0.04,0.01,1,3,362.09,0.322731,1.212542,483.19,1689.68,2050.87,2094.57,20.1306,2776.4436,105.5046,2.4081,0.0340,61,6363,463.3214,0.461194
1,OLS_LOG_RESIDUAL,M15,B_BALANCED_4.5_2.0_0.03_CLOSE1_MAXADD7,60,60,4.50,1.00,2.00,7,0.03,0.01,1,3,290.51,0.307974,1.223736,411.61,1402.14,1704.77,1734.39,16.7862,2781.9172,105.8919,2.4081,0.0340,61,6363,463.3214,0.428564
0,OLS_LOG_RESIDUAL,M15,A_HIGH_RETURN_3.0_1.0_0.04_CLOSE0_MAXADD7,60,60,3.00,0.00,1.00,7,0.04,0.01,1,3,-5033.12,-0.784400,0.236572,101.55,6060.76,6124.47,6162.31,61.0036,8653.4897,1238.0076,2.4081,0.0340,7,6363,8653.4897,-172.579508
