Pass,SpreadModel,TimeFrame,LookBack,RegressionLookBack,ZScoreOpen,ZScoreClose,AddZStep,MaxAddCount,AddLotStep,BaseLots,MinBasketProfit,ExtremeZThreshold,NetProfit,Sharpe,ProfitFactor,MaxAccountProfit,MaxAccountLoss,WorstBasketLoss,MaxEquityDrawdown,MaxEquityDrawdownPct,LongestBasketHoldHours,AvgBasketHoldHours,MaxExtremeZHours,AvgExtremeZHours,BasketCountObserved,ExtremeZEpisodeCount,ActiveBasketAgeHoursAtEnd,Score
83,OLS_LOG_RESIDUAL,M30,60,60,2.0,0,1.0,7,0.04,0.01,1,3,1650.31,1.111285,1.210586,2052.73,151.99,1091.16,1130.07,10.2939,1990.9997,80.8910,2.9392,0.0254,59,3222,1990.9997,3.776503
112,OLS_LOG_RESIDUAL,M15,60,60,1.5,0,3.0,7,0.04,0.01,1,3,169.31,0.118000,1.049387,326.64,1483.53,1486.11,1488.22,14.8752,3079.5761,59.7297,1.2067,0.0213,88,5679,1542.5550,0.006323
51,OLS_LOG_RESIDUAL,M30,60,60,2.0,0,1.5,7,0.02,0.01,1,3,395.83,0.465502,1.137973,882.65,40.83,887.54,893.15,8.2071,1532.6219,85.9706,2.9392,0.0254,56,3222,1532.6219,0.483400
20,OLS_LOG_RESIDUAL,M15,60,60,2.5,0,2.0,7,0.00,0.01,1,3,137.35,0.243441,1.056366,342.50,327.06,385.32,389.90,3.8439,1424.6711,81.7246,1.2067,0.0213,60,5679,631.3886,0.143208
84,OLS_LOG_RESIDUAL,M15,60,60,2.5,0,1.0,7,0.04,0.01,1,3,3712.46,0.424871,1.143176,3729.92,4055.64,5574.61,5786.52,46.7803,1424.6686,50.2994,1.2067,0.0213,90,5679,30.2028,10.142719
113,OLS_LOG_RESIDUAL,M30,60,60,1.5,0,3.0,7,0.04,0.01,1,3,543.01,1.049654,1.214535,584.18,92.80,418.50,421.92,4.0536,1424.5825,71.0991,2.9392,0.0254,72,3222,195.9225,29.055656
52,OLS_LOG_RESIDUAL,M15,60,60,2.5,0,1.5,7,0.02,0.01,1,3,1180.05,0.655173,1.182896,1197.51,1406.02,1595.20,1604.93,15.7363,1424.6686,50.6802,1.2067,0.0213,89,5679,30.2028,17.142150
21,OLS_LOG_RESIDUAL,M30,60,60,2.5,0,2.0,7,0.00,0.01,1,3,-32.65,-0.063997,0.978181,313.92,439.17,750.60,753.09,7.3017,1424.4642,100.7843,2.9392,0.0254,46,3222,992.3572,-15.134185
85,OLS_LOG_RESIDUAL,M30,60,60,2.5,0,1.0,7,0.04,0.01,1,3,502.76,0.304680,1.075452,1222.47,263.21,1326.45,1328.96,11.8420,1531.1558,114.2242,2.9392,0.0254,41,3222,1531.1558,0.169861
114,OLS_LOG_RESIDUAL,M15,60,60,2.0,0,3.0,7,0.04,0.01,1,3,581.69,0.602901,1.230522,724.90,825.03,1063.26,1078.99,10.5227,1541.6619,58.8431,1.2067,0.0213,87,5679,1541.6619,1.320633
